Criterion,Max_depth,N_estimators,Accuracy,
log_loss,6,130,0.966592407,High
gini,6,160,0.963111482,High
log_loss,9,190,0.9631022,High
log_loss,9,130,0.9631022,High
log_loss,6,190,0.963092917,High
entropy,9,190,0.963092917,High
gini,9,130,0.961357096,High
gini,6,130,0.959593428,High
entropy,6,130,0.959584146,High
log_loss,9,160,0.959584146,High
gini,6,190,0.95782976,High
gini,9,160,0.957820477,High
entropy,6,190,0.957820477,High
log_loss,6,160,0.956084656,High
entropy,9,160,0.954320988,High
entropy,6,160,0.954320988,High
gini,9,190,0.954320988,High
entropy,9,130,0.954320988,High
gini,3,130,0.952566602,High
entropy,3,130,0.952557319,High
log_loss,3,130,0.950802933,High
log_loss,3,190,0.950802933,High
gini,3,160,0.94905783,Medium
entropy,3,160,0.949039265,Medium
log_loss,3,160,0.949039265,Medium
gini,3,190,0.943776107,Medium
entropy,3,190,0.943766824,Medium
entropy,9,130,0.969439124,High
entropy,9,160,0.967113543,High
entropy,6,160,0.964760602,High
log_loss,9,130,0.964760602,High
entropy,9,190,0.964760602,High
log_loss,9,160,0.964760602,High
entropy,6,190,0.964733242,High
gini,9,190,0.964733242,High
log_loss,6,190,0.962435021,High
log_loss,9,190,0.962435021,High
entropy,6,130,0.960082079,High
log_loss,6,160,0.96005472,High
gini,6,160,0.957756498,High
gini,9,160,0.957729138,High
gini,9,130,0.957729138,High
log_loss,6,130,0.957729138,High
gini,6,190,0.955403557,High
gini,6,130,0.950725034,High
log_loss,3,130,0.950697674,High
entropy,3,190,0.950670315,High
gini,3,190,0.948399453,Medium
entropy,3,160,0.948344733,Medium
gini,3,130,0.946046512,Medium
log_loss,3,190,0.946019152,Medium
entropy,3,130,0.945991792,Medium
gini,3,160,0.94369357,Medium
log_loss,3,160,0.941340629,Medium
entropy,9,160,0.964920205,High
entropy,9,190,0.963178044,High
entropy,6,190,0.963156536,High
log_loss,9,190,0.963156536,High
gini,9,160,0.961414376,High
gini,9,130,0.961392868,High
log_loss,9,160,0.961392868,High
log_loss,6,160,0.961392868,High
log_loss,6,130,0.96137136,High
log_loss,6,190,0.96137136,High
gini,6,190,0.959672216,High
entropy,6,130,0.959650708,High
log_loss,9,130,0.959607691,High
gini,6,160,0.957908547,High
entropy,9,130,0.957908547,High
log_loss,3,130,0.957908547,High
gini,9,190,0.957908547,High
entropy,6,160,0.957887039,High
entropy,3,160,0.956144879,High
gini,6,130,0.956144879,High
entropy,3,190,0.956123371,High
gini,3,190,0.954402719,High
log_loss,3,190,0.95438121,High
gini,3,130,0.952660558,High
log_loss,3,160,0.950875382,High
gini,3,160,0.950875382,High
entropy,3,130,0.947348045,Medium
gini,6,130,0.876190476,Medium
gini,6,160,0.876190476,Medium
gini,9,190,0.876190476,Medium
entropy,9,130,0.876190476,Medium
log_loss,6,130,0.871428571,Medium
gini,9,160,0.871428571,Medium
entropy,9,190,0.871428571,Medium
log_loss,9,190,0.866666667,Medium
gini,6,190,0.866666667,Medium
entropy,3,160,0.866666667,Medium
entropy,6,130,0.866666667,Medium
log_loss,9,160,0.866666667,Medium
log_loss,9,130,0.861904762,Medium
log_loss,6,190,0.861904762,Medium
log_loss,3,190,0.861904762,Medium
log_loss,3,130,0.861904762,Medium
gini,3,130,0.861904762,Medium
entropy,6,190,0.861904762,Medium
entropy,3,190,0.861904762,Medium
entropy,3,130,0.861904762,Medium
gini,9,130,0.861904762,Medium
gini,3,190,0.861904762,Medium
entropy,9,160,0.861904762,Medium
entropy,6,160,0.861904762,Medium
log_loss,6,160,0.857142857,Medium
log_loss,3,160,0.852380952,Medium
gini,3,160,0.852380952,Medium
gini,9,190,0.923991935,Medium
gini,9,130,0.923991935,Medium
entropy,6,160,0.917741935,Medium
log_loss,9,130,0.917741935,Medium
log_loss,6,130,0.917741935,Medium
gini,9,160,0.917741935,Medium
log_loss,9,190,0.917741935,Medium
gini,6,160,0.917741935,Medium
gini,6,130,0.917741935,Medium
log_loss,6,190,0.911290323,Medium
log_loss,6,160,0.911290323,Medium
log_loss,3,190,0.911290323,Medium
entropy,9,190,0.911290323,Medium
gini,6,190,0.911290323,Medium
entropy,9,130,0.911290323,Medium
entropy,9,160,0.911290323,Medium
log_loss,9,160,0.911290323,Medium
entropy,6,130,0.911290323,Medium
entropy,3,130,0.911290323,Medium
entropy,6,190,0.911290323,Medium
log_loss,3,130,0.905040323,Medium
entropy,3,160,0.905040323,Medium
entropy,3,190,0.90483871,Medium
gini,3,160,0.90483871,Medium
gini,3,130,0.90483871,Medium
log_loss,3,160,0.89858871,Medium
gini,3,190,0.89858871,Medium
log_loss,9,190,0.9,Medium
log_loss,6,190,0.9,Medium
log_loss,9,130,0.9,Medium
entropy,9,160,0.9,Medium
entropy,9,190,0.895238095,Medium
log_loss,9,160,0.895238095,Medium
gini,6,130,0.895238095,Medium
gini,6,160,0.895238095,Medium
gini,6,190,0.895238095,Medium
gini,9,130,0.895238095,Medium
entropy,9,130,0.89047619,Medium
entropy,6,160,0.89047619,Medium
log_loss,6,130,0.89047619,Medium
entropy,6,190,0.885714286,Medium
gini,9,190,0.885714286,Medium
gini,9,160,0.885714286,Medium
log_loss,6,160,0.885714286,Medium
entropy,6,130,0.885714286,Medium
gini,3,160,0.880952381,Medium
entropy,3,130,0.880952381,Medium
log_loss,3,160,0.880952381,Medium
log_loss,3,190,0.880952381,Medium
gini,3,130,0.880952381,Medium
entropy,3,160,0.876190476,Medium
entropy,3,190,0.876190476,Medium
log_loss,3,130,0.871428571,Medium
gini,3,190,0.871428571,Medium
entropy,3,130,0.848184818,Medium
gini,3,190,0.838283828,Medium
entropy,3,190,0.838283828,Medium
log_loss,3,160,0.831683168,Medium
log_loss,9,130,0.831683168,Medium
log_loss,6,130,0.828382838,Low
entropy,3,160,0.828382838,Low
gini,3,130,0.825082508,Low
log_loss,3,190,0.825082508,Low
entropy,6,160,0.825082508,Low
gini,3,160,0.825082508,Low
gini,9,130,0.821782178,Low
log_loss,6,190,0.821782178,Low
entropy,6,190,0.821782178,Low
log_loss,6,160,0.821782178,Low
gini,6,190,0.821782178,Low
log_loss,3,130,0.818481848,Low
log_loss,9,190,0.818481848,Low
gini,9,190,0.818481848,Low
entropy,9,160,0.815181518,Low
gini,6,130,0.815181518,Low
entropy,6,130,0.815181518,Low
gini,6,160,0.811881188,Low
gini,9,160,0.808580858,Low
log_loss,9,160,0.808580858,Low
entropy,9,190,0.808580858,Low
entropy,9,130,0.805280528,Low
entropy,3,190,0.83236715,Medium
entropy,3,130,0.828115942,Low
log_loss,3,130,0.828019324,Low
entropy,6,130,0.827922705,Low
entropy,6,190,0.823478261,Low
log_loss,3,190,0.819323671,Low
log_loss,9,190,0.819227053,Low
log_loss,6,130,0.819227053,Low
gini,9,160,0.819227053,Low
gini,3,190,0.819130435,Low
log_loss,3,160,0.819130435,Low
entropy,3,160,0.819130435,Low
log_loss,9,160,0.814975845,Low
entropy,6,160,0.81468599,Low
entropy,9,190,0.810434783,Low
entropy,9,160,0.810338164,Low
gini,3,130,0.810338164,Low
log_loss,6,190,0.810241546,Low
gini,3,160,0.806086957,Low
gini,9,190,0.805990338,Low
entropy,9,130,0.805990338,Low
log_loss,6,160,0.801642512,Low
gini,6,130,0.801545894,Low
gini,6,190,0.797101449,Low
gini,9,130,0.79294686,Low
log_loss,9,130,0.788502415,Low
gini,6,160,0.783961353,Low
gini,9,190,0.848233162,Medium
gini,3,130,0.844986409,Medium
log_loss,6,130,0.844986409,Medium
log_loss,3,190,0.844910903,Medium
gini,3,160,0.841739656,Medium
log_loss,3,160,0.841739656,Medium
entropy,3,130,0.841588644,Medium
entropy,9,130,0.841588644,Medium
gini,3,190,0.838492902,Medium
entropy,3,190,0.838417397,Medium
entropy,6,190,0.838341891,Medium
entropy,9,160,0.838190879,Medium
entropy,3,160,0.835170643,Medium
gini,6,160,0.835095137,Medium
log_loss,3,130,0.835095137,Medium
entropy,6,160,0.835019632,Medium
gini,6,190,0.83486862,Medium
gini,6,130,0.83486862,Medium
log_loss,6,160,0.831772878,Medium
entropy,6,130,0.828601631,Low
entropy,9,190,0.828450619,Low
log_loss,9,190,0.828299607,Low
gini,9,130,0.82512836,Low
log_loss,9,160,0.825052854,Low
gini,9,160,0.821881607,Low
log_loss,6,190,0.821881607,Low
log_loss,9,130,0.821806101,Low
