Datasets,C,Degree,Kernel,Accuracy,cv
Breast_Cancer,3,7,linear,0.964788732,3
Breast_Cancer,3,5,linear,0.964788732,3
Breast_Cancer,3,3,linear,0.964788732,3
Breast_Cancer,1,3,linear,0.960093897,3
Breast_Cancer,5,7,linear,0.960093897,3
Breast_Cancer,5,5,linear,0.960093897,3
Breast_Cancer,1,5,linear,0.960093897,3
Breast_Cancer,5,3,linear,0.960093897,3
Breast_Cancer,1,7,linear,0.960093897,3
Breast_Cancer,3,7,rbf,0.915492958,3
Breast_Cancer,3,5,rbf,0.915492958,3
Breast_Cancer,3,3,rbf,0.915492958,3
Breast_Cancer,3,3,poly,0.908450704,3
Breast_Cancer,5,7,rbf,0.908450704,3
Breast_Cancer,5,3,rbf,0.908450704,3
Breast_Cancer,5,5,rbf,0.908450704,3
Breast_Cancer,3,5,poly,0.906103286,3
Breast_Cancer,1,7,rbf,0.906103286,3
Breast_Cancer,1,5,rbf,0.906103286,3
Breast_Cancer,5,3,poly,0.906103286,3
Breast_Cancer,1,3,rbf,0.906103286,3
Breast_Cancer,5,5,poly,0.903755869,3
Breast_Cancer,1,3,poly,0.901408451,3
Breast_Cancer,1,5,poly,0.899061033,3
Breast_Cancer,3,7,poly,0.899061033,3
Breast_Cancer,5,7,poly,0.899061033,3
Breast_Cancer,1,7,poly,0.887323944,3
Breast_Cancer,3,7,linear,0.969466484,5
Breast_Cancer,3,5,linear,0.969466484,5
Breast_Cancer,3,3,linear,0.969466484,5
Breast_Cancer,1,3,linear,0.967140903,5
Breast_Cancer,1,5,linear,0.967140903,5
Breast_Cancer,1,7,linear,0.967140903,5
Breast_Cancer,5,7,linear,0.967113543,5
Breast_Cancer,5,5,linear,0.967113543,5
Breast_Cancer,5,3,linear,0.967113543,5
Breast_Cancer,3,7,rbf,0.92246238,5
Breast_Cancer,3,5,rbf,0.92246238,5
Breast_Cancer,3,3,rbf,0.92246238,5
Breast_Cancer,5,7,rbf,0.915430917,5
Breast_Cancer,5,3,rbf,0.915430917,5
Breast_Cancer,5,3,poly,0.915430917,5
Breast_Cancer,5,5,rbf,0.915430917,5
Breast_Cancer,1,7,rbf,0.915403557,5
Breast_Cancer,1,5,rbf,0.915403557,5
Breast_Cancer,1,3,rbf,0.915403557,5
Breast_Cancer,5,5,poly,0.910725034,5
Breast_Cancer,3,3,poly,0.908372093,5
Breast_Cancer,3,5,poly,0.906046512,5
Breast_Cancer,1,3,poly,0.906046512,5
Breast_Cancer,5,7,poly,0.90372093,5
Breast_Cancer,3,7,poly,0.901367989,5
Breast_Cancer,1,5,poly,0.899015048,5
Breast_Cancer,1,7,poly,0.891983584,5
Breast_Cancer,1,3,linear,0.967135051,7
Breast_Cancer,1,5,linear,0.967135051,7
Breast_Cancer,1,7,linear,0.967135051,7
Breast_Cancer,3,7,linear,0.964754098,7
Breast_Cancer,3,5,linear,0.964754098,7
Breast_Cancer,3,3,linear,0.964754098,7
Breast_Cancer,5,7,linear,0.962334114,7
Breast_Cancer,5,5,linear,0.962334114,7
Breast_Cancer,5,3,linear,0.962334114,7
Breast_Cancer,3,7,rbf,0.924824356,7
Breast_Cancer,3,5,rbf,0.924824356,7
Breast_Cancer,3,3,rbf,0.924824356,7
Breast_Cancer,5,7,rbf,0.920101483,7
Breast_Cancer,5,3,rbf,0.920101483,7
Breast_Cancer,5,5,rbf,0.920101483,7
Breast_Cancer,5,3,poly,0.915456674,7
Breast_Cancer,1,7,rbf,0.913153786,7
Breast_Cancer,1,5,rbf,0.913153786,7
Breast_Cancer,1,3,rbf,0.913153786,7
Breast_Cancer,3,3,poly,0.910733802,7
Breast_Cancer,3,5,poly,0.908352849,7
Breast_Cancer,5,5,poly,0.908352849,7
Breast_Cancer,1,3,poly,0.906010929,7
Breast_Cancer,5,7,poly,0.906010929,7
Breast_Cancer,3,7,poly,0.903669009,7
Breast_Cancer,1,5,poly,0.901327088,7
Breast_Cancer,1,7,poly,0.891920375,7
Heart_Attack,1,3,linear,0.766725146,3
Heart_Attack,5,7,linear,0.766725146,3
Heart_Attack,5,5,linear,0.766725146,3
Heart_Attack,1,5,linear,0.766725146,3
Heart_Attack,5,3,linear,0.766725146,3
Heart_Attack,1,7,linear,0.766725146,3
Heart_Attack,3,7,linear,0.762339181,3
Heart_Attack,3,5,linear,0.762339181,3
Heart_Attack,3,3,linear,0.762339181,3
Heart_Attack,5,7,poly,0.660701754,3
Heart_Attack,1,5,poly,0.656315789,3
Heart_Attack,3,3,poly,0.651929825,3
Heart_Attack,3,7,poly,0.651871345,3
Heart_Attack,5,3,poly,0.64748538,3
Heart_Attack,1,7,poly,0.647426901,3
Heart_Attack,5,5,poly,0.643040936,3
Heart_Attack,3,5,poly,0.643040936,3
Heart_Attack,5,7,rbf,0.63,3
Heart_Attack,5,5,rbf,0.63,3
Heart_Attack,5,3,rbf,0.63,3
Heart_Attack,1,3,poly,0.62994152,3
Heart_Attack,3,3,rbf,0.616725146,3
Heart_Attack,3,5,rbf,0.616725146,3
Heart_Attack,3,7,rbf,0.616725146,3
Heart_Attack,1,7,rbf,0.599181287,3
Heart_Attack,1,3,rbf,0.599181287,3
Heart_Attack,1,5,rbf,0.599181287,3
Heart_Attack,5,7,linear,0.801642512,5
Heart_Attack,5,5,linear,0.801642512,5
Heart_Attack,5,3,linear,0.801642512,5
Heart_Attack,1,3,linear,0.801545894,5
Heart_Attack,1,5,linear,0.801545894,5
Heart_Attack,1,7,linear,0.801545894,5
Heart_Attack,3,7,linear,0.792753623,5
Heart_Attack,3,5,linear,0.792753623,5
Heart_Attack,3,3,linear,0.792753623,5
Heart_Attack,5,7,poly,0.67826087,5
Heart_Attack,3,5,poly,0.669275362,5
Heart_Attack,5,5,poly,0.665024155,5
Heart_Attack,3,3,poly,0.664927536,5
Heart_Attack,3,7,poly,0.660676329,5
Heart_Attack,5,3,poly,0.660483092,5
Heart_Attack,1,5,poly,0.651690821,5
Heart_Attack,5,7,rbf,0.638454106,5
Heart_Attack,5,5,rbf,0.638454106,5
Heart_Attack,5,3,rbf,0.638454106,5
Heart_Attack,3,3,rbf,0.638357488,5
Heart_Attack,3,5,rbf,0.638357488,5
Heart_Attack,3,7,rbf,0.638357488,5
Heart_Attack,1,7,poly,0.634202899,5
Heart_Attack,1,3,poly,0.63410628,5
Heart_Attack,1,7,rbf,0.620772947,5
Heart_Attack,1,3,rbf,0.620772947,5
Heart_Attack,1,5,rbf,0.620772947,5
Heart_Attack,1,3,linear,0.823593074,7
Heart_Attack,1,5,linear,0.823593074,7
Heart_Attack,1,7,linear,0.823593074,7
Heart_Attack,3,7,linear,0.801542208,7
Heart_Attack,3,5,linear,0.801542208,7
Heart_Attack,3,3,linear,0.801542208,7
Heart_Attack,5,7,linear,0.797077922,7
Heart_Attack,5,5,linear,0.797077922,7
Heart_Attack,5,3,linear,0.797077922,7
Heart_Attack,5,7,poly,0.699945887,7
Heart_Attack,3,7,poly,0.677895022,7
Heart_Attack,5,3,poly,0.67775974,7
Heart_Attack,3,5,poly,0.677624459,7
Heart_Attack,5,5,poly,0.66896645,7
Heart_Attack,3,3,poly,0.668831169,7
Heart_Attack,3,3,rbf,0.664502165,7
Heart_Attack,5,5,rbf,0.664502165,7
Heart_Attack,5,3,rbf,0.664502165,7
Heart_Attack,3,5,rbf,0.664502165,7
Heart_Attack,3,7,rbf,0.664502165,7
Heart_Attack,5,7,rbf,0.664502165,7
Heart_Attack,1,7,poly,0.655708874,7
Heart_Attack,1,5,poly,0.646915584,7
Heart_Attack,1,7,rbf,0.642721861,7
Heart_Attack,1,3,rbf,0.642721861,7
Heart_Attack,1,5,rbf,0.642721861,7
Heart_Attack,1,3,poly,0.629464286,7
Seed,5,7,poly,0.942912433,3
Seed,5,5,poly,0.936381229,3
Seed,3,7,linear,0.929970972,3
Seed,3,5,poly,0.929970972,3
Seed,3,3,linear,0.929970972,3
Seed,3,5,linear,0.929970972,3
Seed,1,7,poly,0.929850024,3
Seed,5,7,linear,0.923681664,3
Seed,5,5,linear,0.923681664,3
Seed,5,3,linear,0.923681664,3
Seed,3,7,poly,0.923681664,3
Seed,1,3,linear,0.917271408,3
Seed,1,7,linear,0.917271408,3
Seed,1,5,poly,0.917271408,3
Seed,1,5,linear,0.917271408,3
Seed,5,3,poly,0.9109821,3
Seed,1,3,poly,0.9109821,3
Seed,3,3,poly,0.910861151,3
Seed,3,3,rbf,0.891872279,3
Seed,5,7,rbf,0.891872279,3
Seed,3,7,rbf,0.891872279,3
Seed,5,3,rbf,0.891872279,3
Seed,5,5,rbf,0.891872279,3
Seed,3,5,rbf,0.891872279,3
Seed,1,7,rbf,0.88558297,3
Seed,1,5,rbf,0.88558297,3
Seed,1,3,rbf,0.88558297,3
Seed,3,7,poly,0.968346774,5
Seed,5,7,poly,0.961895161,5
Seed,5,7,linear,0.949193548,5
Seed,5,5,linear,0.949193548,5
Seed,5,3,linear,0.949193548,5
Seed,3,7,linear,0.949193548,5
Seed,3,5,linear,0.949193548,5
Seed,3,3,linear,0.949193548,5
Seed,5,5,poly,0.936491935,5
Seed,1,7,poly,0.936290323,5
Seed,1,3,linear,0.930040323,5
Seed,1,7,linear,0.930040323,5
Seed,1,5,linear,0.930040323,5
Seed,3,5,poly,0.92983871,5
Seed,5,3,poly,0.91733871,5
Seed,1,5,poly,0.917137097,5
Seed,1,3,poly,0.904637097,5
Seed,3,3,poly,0.898387097,5
Seed,5,7,rbf,0.898387097,5
Seed,3,7,rbf,0.898387097,5
Seed,5,3,rbf,0.898387097,5
Seed,5,5,rbf,0.898387097,5
Seed,3,3,rbf,0.898387097,5
Seed,3,5,rbf,0.898387097,5
Seed,1,7,rbf,0.891935484,5
Seed,1,5,rbf,0.891935484,5
Seed,1,3,rbf,0.891935484,5
Seed,5,7,poly,0.948898927,7
Seed,5,7,linear,0.942970073,7
Seed,5,5,linear,0.942970073,7
Seed,5,3,linear,0.942970073,7
Seed,3,7,linear,0.942687747,7
Seed,3,3,linear,0.942687747,7
Seed,3,5,linear,0.942687747,7
Seed,3,7,poly,0.942405421,7
Seed,1,5,poly,0.92998306,7
Seed,5,5,poly,0.92377188,7
Seed,3,5,poly,0.92377188,7
Seed,1,3,linear,0.92377188,7
Seed,1,7,linear,0.92377188,7
Seed,1,5,linear,0.92377188,7
Seed,5,7,rbf,0.911067194,7
Seed,5,3,rbf,0.911067194,7
Seed,5,5,rbf,0.911067194,7
Seed,1,3,poly,0.904856014,7
Seed,3,3,rbf,0.904856014,7
Seed,1,7,rbf,0.904856014,7
Seed,3,7,rbf,0.904856014,7
Seed,1,5,rbf,0.904856014,7
Seed,1,3,rbf,0.904856014,7
Seed,3,5,rbf,0.904856014,7
Seed,5,3,poly,0.904573687,7
Seed,1,7,poly,0.904291361,7
Seed,3,3,poly,0.891869001,7
